pl_name,pl_letter,hostname,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_trandep,pl_trandur,pl_ratror,pl_ratdor,pl_imppar,disc_year,discoverymethod,disc_facility,disc_telescope,st_teff,st_rad,st_mass,st_lum,st_logg,st_age,st_dens,st_met,st_rotp,st_spectype,sy_snum,sy_pnum,sy_mnum,sy_dist,ra,dec,rastr,decstr,glat,glon,x,y,z,cb_flag,pl_controv_flag,tran_flag,rv_flag,ttv_flag,sy_vmag,sy_kmag,sy_gaiamag,sy_tmag,tic_id,gaia_dr3_id,star_class,planet_type,planet_subtype,habitability_score,distance_display,period_display,mass_display,radius_display,x_pc,y_pc,z_pc,distance_ly,is_habitable_zone,is_earth_like
Kepler-1728 b,b,Kepler-1728,2.95501875,0.26362957,9.04,0.0284,M-R relationship,1.93,886.0,145.48,4.782999992,0.0535,0.0,89.99,0.10087,2.3788,0.028315,16.102,0.003,2021,Transit,Kepler,0.95 m Kepler Telescope,5170.0,0.807,0.891,-0.41612,4.574,12.8,3.45234,0.18,,,1,1,0,651.783,287.0940046,39.0607801,19h08m22.56s,+39d03m38.81s,13.66878,70.0941,0.2282381643365732,-0.7421760714286462,0.6301444432342574,0,0,1,0,0,15.279,13.203,15.084,14.4742,TIC 121085785,Gaia DR3 2100378478222060032,,Sub-Neptune,Mini-Neptune,10.0,2.1k light-years,4.8 days,9.0 Earth masses,3.0 Earth radii,148.7617554657847,-483.7377463639773,410.71743564455403,2125.82936148,False,False
Kepler-1705 c,c,Kepler-1705,2.05,0.18288907,5.42,0.01705323,Mass,3.528714,,,11.28,,0.028,88.89,,,,17.64,0.34,2021,Transit,Kepler,0.95 m Kepler Telescope,6312.0,1.259,1.139,0.35411,4.298,2.59,0.796552,-0.2,,,1,2,0,1633.49,301.5785316,44.3121639,20h06m18.85s,+44d18m43.79s,6.55518,79.9197,0.3747068205556746,-0.6095889187636516,0.6985672113330396,0,0,1,0,1,15.8,13.735,15.4974,14.974,TIC 185335907,Gaia DR3 2081875484241210240,,Sub-Neptune,Mini-Neptune,10.0,5.3k light-years,11.3 days,5.4 Earth masses,2.0 Earth radii,612.079844309489,-995.7574029112373,1141.1025540404069,5327.7256443999995,False,False
Kepler-1322 c,c,Kepler-1322,2.15492527,0.19224989,5.29,0.0166,M-R relationship,2.9,883.0,144.06,6.459980011,0.0652,0.0,86.82,0.03942,1.785,0.018766,28.0,0.1106,2021,Transit,Kepler,0.95 m Kepler Telescope,5704.0,0.804,0.897,-0.10053,4.575,0.4,1.50481,-0.3,,,1,2,0,1350.32,293.2045009,45.4353919,19h32m49.08s,+45d26m07.41s,12.28194,77.98305,0.2764848624216267,-0.6449475879438008,0.7124596337036699,0,0,1,0,0,15.876,14.068,15.7753,15.2487,TIC 275490412,Gaia DR3 2126524001437900928,,Sub-Neptune,Mini-Neptune,10.0,4.4k light-years,6.5 days,5.3 Earth masses,2.2 Earth radii,373.3430394251709,-870.885626952273,962.0484925827395,4404.149699199999,False,False
Kepler-1693 c,c,Kepler-1693,0.97698289,0.08716073,0.894,0.00281,M-R relationship,5.27,1059.0,296.73,5.363709927,0.0588,0.0,89.97,0.01143,2.875,0.00963,13.8,0.008,2021,Transit,Kepler,0.95 m Kepler Telescope,5553.0,1.098,0.941,-0.21808,4.33,0.8,1.83604,0.16,,,1,2,0,760.065,290.2015581,48.1857799,19h20m48.37s,+48d11m08.81s,15.30878,79.6509,0.2302333562491587,-0.625703430758623,0.7453105516542329,0,0,1,0,0,14.857,13.101,14.7438,14.2398,TIC 406948151,Gaia DR3 2129417198787412608,,Sub-Earth,Lava World,30.0,2.5k light-years,5.4 days,0.9 Earth masses,0.98 Earth radii,174.9923159175168,-475.5752780995528,566.4844644430746,2478.9976014,False,True
Kepler-1956 b,b,Kepler-1956,1.08940238,0.09719014,1.32,0.00416,M-R relationship,5.61,674.0,48.82,5.943719864,0.0563,0.0,89.54,0.0301,1.847,0.015359,24.5,0.121,2021,Transit,Kepler,0.95 m Kepler Telescope,4391.0,0.682,0.671,-1.04512,4.598,,7.87556,0.04,,,1,1,0,360.468,294.6208506,49.894219,19h38m29.00s,+49d53m39.19s,13.40876,82.51464,0.2683815579558472,-0.5856330051115741,0.7648564065713113,0,0,1,0,0,15.989,12.848,15.5722,14.7855,TIC 27233725,Gaia DR3 2135052298959703296,,Earth-sized,Rocky,30.0,1.2k light-years,5.9 days,1.3 Earth masses,1.09 Earth radii,96.74296343322834,-211.1019580865589,275.70625916394744,1175.68801008,False,True
Kepler-1957 b,b,Kepler-1957,0.94374867,0.08419576,0.79,0.00248,M-R relationship,5.16,1099.0,345.07,2.186619997,0.0299,0.0,82.31,0.01178,1.585,0.009751,6.19,0.2799,2021,Transit,Kepler,0.95 m Kepler Telescope,4904.0,0.772,0.745,-0.60069,4.535,,0.93901,0.0,,,1,1,0,460.899,293.711436,47.8874467,19h34m50.74s,+47d53m14.81s,13.0557,80.39441,0.2696643779248902,-0.6139796041641776,0.7418289350981004,0,0,1,0,0,15.13,12.613,14.7806,14.138,TIC 26961214,Gaia DR3 2128835110460415616,,Sub-Earth,Lava World,30.0,1.5k light-years,2.2 days,0.8 Earth masses,0.94 Earth radii,124.28804212120396,-282.9825855796653,341.9082143577794,1503.2497424399999,False,True
Kepler-1711 b,b,Kepler-1711,1.923,0.17155886,4.36,0.0137,M-R relationship,3.37,669.0,47.39,21.06080055,0.1463,0.0,89.67,0.03012,5.2472,0.01588,30.68,0.0215,2021,Transit,Kepler,0.95 m Kepler Telescope,5706.0,1.034,0.94,0.00966,4.382,6.6,1.23168,0.0,,,1,1,0,590.268,298.1772916,42.2370289,19h52m42.55s,+42d14m13.30s,7.61078,76.84314,0.34960392981797,-0.652629534844458,0.6721992134066642,0,0,1,0,0,13.298,11.643,13.1844,12.7113,TIC 273778951,,,Super-Earth,Super-Earth,20.0,1.9k light-years,21.1 days,4.4 Earth masses,1.92 Earth radii,206.36001244579353,-385.2263302735685,396.77768529912487,1925.19449808,False,False
Kepler-1888 b,b,Kepler-1888,1.32578716,0.11827901,2.32,0.00729,M-R relationship,5.47,886.0,145.67,11.39169979,0.0956,0.0,84.87,0.00473,4.971,0.006256,17.18,0.2265,2021,Transit,Kepler,0.95 m Kepler Telescope,5557.0,1.249,0.897,0.37424,4.198,11.3,0.12472,0.0,,,1,1,0,402.947,289.3945523,41.7822597,19h17m34.69s,+41d46m56.13s,13.19653,73.38556,0.2476198148080091,-0.7033680258147763,0.6663016190704264,0,0,1,0,0,12.099,10.322,11.8773,11.3796,TIC 122066892,Gaia DR3 2102245375949400960,,Super-Earth,Super-Earth,30.0,1.3k light-years,11.4 days,2.3 Earth masses,1.33 Earth radii,99.77766151744284,-283.4200358979867,268.4842384995711,1314.23581732,False,False
Kepler-1959 b,b,Kepler-1959,1.14315727,0.10198584,1.57,0.00494,M-R relationship,5.78,811.0,102.25,6.38669014,0.0617,0.0,89.98,0.02296,1.2428,0.013575,39.7,0.0597,2021,Transit,Kepler,0.95 m Kepler Telescope,5071.0,0.811,0.768,-0.47365,4.505,,32.34332,-0.02,,,1,1,0,479.263,296.022301,44.7326691,19h44m05.35s,+44d43m57.61s,10.19197,78.2779,0.3116666128022972,-0.6383804971538688,0.7037998744798994,0,0,1,0,0,14.797,12.494,14.5568,13.9433,TIC 272173269,Gaia DR3 2079749303627032448,,Earth-sized,Rocky,30.0,1.6k light-years,6.4 days,1.6 Earth masses,1.14 Earth radii,149.37027585146734,-305.9521522074546,337.30523924286,1563.14503028,False,True
OGLE-2018-BLG-0532L b,b,OGLE-2018-BLG-0532L,2.37,0.212,6.228,0.01959548,Mass,2.57,,,,1.064,,,,,,,,2020,Microlensing,OGLE,1.3 m Warsaw University Telescope,,,0.195,,,,,,,,1,1,0,773.0,269.9834167,-28.99775,17h59m56.02s,-28d59m51.9s,-2.72744,1.5387,-0.0002531499786197,-0.8746387082591955,-0.4847752736369442,0,0,0,0,0,,,,,,,,Sub-Neptune,Mini-Neptune,10.0,2.5k light-years,,6.2 Earth masses,2.4 Earth radii,-0.19568493347302812,-676.0957214843581,-374.7312865213579,2521.18588,False,False
